"parameter","estimate","variance","standard_error"
"log_alpha1",1.40437960074876,0.00020732822959102,0.014398896818542
"log_lambda1",-6.97592602888313,0.0101906031600915,0.10094851737441
"beta11",0.981438839328704,0.000578627841490886,0.0240546843980728
"beta12",-0.999107900425611,0.00141819222481517,0.0376588930375704
"log_alpha2",1.36419673912328,0.000263211047233711,0.0162237803003403
"log_lambda2",-6.75138981562429,0.0117829415668985,0.108549258711879
"beta21",1.00048132794416,0.000638024174846698,0.0252591404217701
"beta22",-1.01129561144706,0.00167020717124222,0.0408681681904415
"h11",0.341649464063372,0.00383322836410039,0.0619130710278564
"h12",0.219715910867416,0.00313962394628733,0.0560323473208764
"h22",0.330330653152434,0.00400558639718047,0.0632897021416634
